evidence_id,gene_id,symbol,cell_type_id,cell_type_name,compartment,expected_expression,evidence_basis,biological_rationale,quantitative_status
KRAS_malignant_cell,3845,KRAS,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,KRAS is a frequent LUAD driver; RNA expression does not equal mutation status.,not_matrix_quantified_in_v1
MET_malignant_cell,4233,MET,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,"MET activation may occur through amplification, exon skipping, or expression programs.",not_matrix_quantified_in_v1
MET_epithelial_cell_of_lung,4233,MET,epithelial_cell_of_lung,epithelial cell of lung,epithelial,moderate,curated_literature_and_marker_context,MET has epithelial and invasive-growth biology.,not_matrix_quantified_in_v1
ALK_malignant_cell,238,ALK,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,ALK rearranged tumors are a molecular subset; RNA alone is not sufficient for fusion calling.,not_matrix_quantified_in_v1
MYC_malignant_cell,4609,MYC,malignant_cell,malignant cell,malignant tumor,moderate,curated_literature_and_marker_context,MYC supports proliferative tumor programs.,not_matrix_quantified_in_v1
EPCAM_malignant_cell,4072,EPCAM,malignant_cell,malignant cell,malignant tumor,high,curated_literature_and_marker_context,EPCAM marks epithelial tumor cells in many carcinoma datasets.,not_matrix_quantified_in_v1
EPCAM_epithelial_cell_of_lung,4072,EPCAM,epithelial_cell_of_lung,epithelial cell of lung,epithelial,high,curated_literature_and_marker_context,EPCAM is a broad epithelial marker.,not_matrix_quantified_in_v1
VIM_fibroblast_of_lung,7431,VIM,fibroblast_of_lung,fibroblast of lung,stromal,high,curated_literature_and_marker_context,VIM is a mesenchymal and stromal marker.,not_matrix_quantified_in_v1
VIM_stromal_cell,7431,VIM,stromal_cell,stromal cell,stromal,high,curated_literature_and_marker_context,Stromal compartments often carry VIM expression.,not_matrix_quantified_in_v1
VIM_malignant_cell,7431,VIM,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,VIM in malignant cells can support EMT-like interpretation.,not_matrix_quantified_in_v1
ZEB1_malignant_cell,6935,ZEB1,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,ZEB1 is an EMT transcription factor.,not_matrix_quantified_in_v1
ZEB1_fibroblast_of_lung,6935,ZEB1,fibroblast_of_lung,fibroblast of lung,stromal,moderate,curated_literature_and_marker_context,Mesenchymal compartments can express EMT-associated transcriptional programs.,not_matrix_quantified_in_v1
SNAI1_malignant_cell,6615,SNAI1,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,SNAI1 is an EMT transcription factor.,not_matrix_quantified_in_v1
MMP9_neutrophil,4318,MMP9,neutrophil,neutrophil,myeloid immune,high,curated_literature_and_marker_context,MMP9 is often prominent in neutrophil and inflammatory myeloid programs.,not_matrix_quantified_in_v1
MMP9_macrophage,4318,MMP9,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,Macrophage-derived matrix remodeling can include MMP9.,not_matrix_quantified_in_v1
S100A8_neutrophil,6279,S100A8,neutrophil,neutrophil,myeloid immune,high,curated_literature_and_marker_context,S100A8 is a canonical inflammatory neutrophil and myeloid marker.,not_matrix_quantified_in_v1
S100A8_classical_monocyte,6279,S100A8,classical_monocyte,classical monocyte,myeloid immune,high,curated_literature_and_marker_context,Classical monocytes can express S100A8 inflammatory programs.,not_matrix_quantified_in_v1
S100A9_neutrophil,6280,S100A9,neutrophil,neutrophil,myeloid immune,high,curated_literature_and_marker_context,S100A9 pairs with S100A8 in inflammatory myeloid biology.,not_matrix_quantified_in_v1
S100A9_classical_monocyte,6280,S100A9,classical_monocyte,classical monocyte,myeloid immune,high,curated_literature_and_marker_context,Classical monocytes can express S100A9 inflammatory programs.,not_matrix_quantified_in_v1
CXCL8_neutrophil,3576,CXCL8,neutrophil,neutrophil,myeloid immune,moderate,curated_literature_and_marker_context,CXCL8 marks inflammatory chemokine biology.,not_matrix_quantified_in_v1
CXCL8_macrophage,3576,CXCL8,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,Macrophages can contribute CXCL8 in inflammatory tumors.,not_matrix_quantified_in_v1
CXCL8_malignant_cell,3576,CXCL8,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,Tumor-cell CXCL8 can support inflammatory and pro-angiogenic programs.,not_matrix_quantified_in_v1
IL1B_classical_monocyte,3553,IL1B,classical_monocyte,classical monocyte,myeloid immune,high,curated_literature_and_marker_context,IL1B is a canonical inflammatory monocyte/macrophage cytokine.,not_matrix_quantified_in_v1
IL1B_macrophage,3553,IL1B,macrophage,macrophage,myeloid immune,high,curated_literature_and_marker_context,Macrophage IL1B supports inflammatory tumor microenvironment interpretation.,not_matrix_quantified_in_v1
SPP1_macrophage,6696,SPP1,macrophage,macrophage,myeloid immune,high,curated_literature_and_marker_context,SPP1-positive macrophage states are common tissue-remodeling tumor-associated myeloid programs.,not_matrix_quantified_in_v1
SPP1_malignant_cell,6696,SPP1,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,SPP1 can also be tumor-cell associated in some epithelial cancers.,not_matrix_quantified_in_v1
MKI67_malignant_cell,4288,MKI67,malignant_cell,malignant cell,malignant tumor,high,curated_literature_and_marker_context,MKI67 marks cycling tumor cells when present in malignant compartments.,not_matrix_quantified_in_v1
MKI67_cd8_positive_alpha_beta_t_cell,4288,MKI67,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,context-dependent,curated_literature_and_marker_context,Cycling lymphocytes can also express proliferation markers.,not_matrix_quantified_in_v1
TOP2A_malignant_cell,7153,TOP2A,malignant_cell,malignant cell,malignant tumor,high,curated_literature_and_marker_context,TOP2A marks proliferating tumor cells and cell-cycle activity.,not_matrix_quantified_in_v1
TOP2A_cd8_positive_alpha_beta_t_cell,7153,TOP2A,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,context-dependent,curated_literature_and_marker_context,Expanding lymphocyte populations may express cell-cycle genes.,not_matrix_quantified_in_v1
VEGFA_malignant_cell,7422,VEGFA,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,Tumor VEGFA can indicate hypoxia and angiogenic signaling.,not_matrix_quantified_in_v1
VEGFA_macrophage,7422,VEGFA,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,Myeloid cells can contribute angiogenic factors in tumors.,not_matrix_quantified_in_v1
HIF1A_malignant_cell,3091,HIF1A,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,HIF1A supports hypoxia-associated interpretation.,not_matrix_quantified_in_v1
HIF1A_macrophage,3091,HIF1A,macrophage,macrophage,myeloid immune,context-dependent,curated_literature_and_marker_context,Hypoxic tumor niches can shape myeloid HIF programs.,not_matrix_quantified_in_v1
HLA-A_malignant_cell,3105,HLA-A,malignant_cell,malignant cell,malignant tumor,moderate,curated_literature_and_marker_context,MHC-I expression on malignant cells affects antigen presentation.,not_matrix_quantified_in_v1
HLA-A_b_cell,3105,HLA-A,b_cell,B cell,lymphoid immune,high,curated_literature_and_marker_context,Immune cells broadly express antigen-presentation machinery.,not_matrix_quantified_in_v1
HLA-A_macrophage,3105,HLA-A,macrophage,macrophage,myeloid immune,high,curated_literature_and_marker_context,Myeloid cells are professional antigen-presenting compartments.,not_matrix_quantified_in_v1
HLA-B_malignant_cell,3106,HLA-B,malignant_cell,malignant cell,malignant tumor,moderate,curated_literature_and_marker_context,MHC-I expression on malignant cells affects immune recognition.,not_matrix_quantified_in_v1
HLA-B_b_cell,3106,HLA-B,b_cell,B cell,lymphoid immune,high,curated_literature_and_marker_context,Immune cells broadly express antigen-presentation machinery.,not_matrix_quantified_in_v1
HLA-B_macrophage,3106,HLA-B,macrophage,macrophage,myeloid immune,high,curated_literature_and_marker_context,Myeloid cells are professional antigen-presenting compartments.,not_matrix_quantified_in_v1
B2M_malignant_cell,567,B2M,malignant_cell,malignant cell,malignant tumor,moderate,curated_literature_and_marker_context,B2M supports MHC-I stability and tumor immune recognition.,not_matrix_quantified_in_v1
B2M_b_cell,567,B2M,b_cell,B cell,lymphoid immune,high,curated_literature_and_marker_context,B2M is broadly expressed with MHC-I in nucleated immune cells.,not_matrix_quantified_in_v1
B2M_macrophage,567,B2M,macrophage,macrophage,myeloid immune,high,curated_literature_and_marker_context,Myeloid antigen-presentation context commonly includes B2M.,not_matrix_quantified_in_v1
JAK1_malignant_cell,3716,JAK1,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,JAK1 supports interferon response and immune-selection interpretation.,not_matrix_quantified_in_v1
JAK2_malignant_cell,3717,JAK2,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,JAK2 supports interferon response and immune-selection interpretation.,not_matrix_quantified_in_v1
JAK2_macrophage,3717,JAK2,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,JAK signaling is relevant to inflammatory myeloid response.,not_matrix_quantified_in_v1
